time,right_knee_angle,left_knee_angle,angular_velocity,linear_acceleration,label
0.13333333333333333,171.17935749886013,176.98955258182448,,,1
0.3,173.27422500981513,166.80514073321916,-5.878254201738323,,1
0.4666666666666667,169.95867236080016,172.13382400975507,9.501370572744657,15.37962477448298,1
0.6333333333333333,170.08590966681842,167.0243998376568,-0.3587586054374761,-9.860129178182133,1
0.8,170.2558121641659,166.11192019991603,-0.4883551813569491,-0.129596575919473,1
0.9666666666666667,170.00772152099842,164.3901211635726,0.7252755638789755,1.2136307452359247,1
1.1333333333333333,170.4542727376264,164.41264949815658,-1.4805320393462564,-2.205807603225232,1
1.3,170.53215014262148,164.59430563698777,-0.23445531085012472,1.2460767284961318,1
1.4666666666666666,170.78441072353775,163.74900701003148,-0.9122437494790131,-0.6777884386288884,1
1.6333333333333333,170.57371090376859,162.8562925669853,0.3268114600261585,1.2390552095051717,1
1.8,170.92669807527034,163.25192095794463,-1.0028635152916379,-1.3296749753177963,1
1.9666666666666666,164.4665673484511,170.68734547294176,18.581610110876376,19.584473626168013,1
2.1333333333333333,168.09323877261022,170.06086662963918,-11.353690289893441,-29.93530040076982,1
2.3,169.77076833970762,171.5040032357516,-4.735494973753119,6.618195316140322,1
2.466666666666667,170.41617039520938,172.73069054580887,-1.2876749284173719,3.4478200453357473,1
2.6333333333333333,168.72214526867762,165.2865419474434,5.2180782557879,6.505753184205272,1
2.8,168.35870785195996,167.82642480247785,3.2880672144777683,-1.9300110413101321,1
2.966666666666667,170.3853935692807,171.06532558962624,-6.490579105634876,-9.778646320112644,1
3.1333333333333333,172.26984345714308,173.79251372895962,-6.05756363010031,0.43301547553456654,1
3.3,166.40128955391114,170.73887971766638,17.17254417224753,23.23010780234784,1
3.466666666666667,163.7719326764139,170.1297555800469,7.481046596208247,-9.691497576039282,1
3.6333333333333333,161.1524940069023,168.66341689214252,7.331934106063403,-0.1491124901448444,1
3.8,171.75601611550053,168.64303016675123,-31.553510968293946,-38.88544507435735,1
3.966666666666667,173.24180448689222,169.6940256159914,-4.395308958830911,27.158202009463036,1
4.133333333333333,171.15435941095708,165.99070119308058,5.995754632138891,10.391063590969802,1
4.3,170.14574336405818,162.19393269189902,3.1162258597136443,-2.879528772425247,1
4.466666666666667,167.95522719166976,166.80225766008942,6.734876569091479,3.6186507093778344,1
4.633333333333333,171.80744701010497,169.73124664902676,-10.888054543893132,-17.62293111298461,1
4.8,169.1888669491771,169.7328413302704,7.5125934351793555,18.400647979072488,1
4.966666666666667,158.42616027875627,167.4931085263408,31.291157225931684,23.77856379075233,1
5.133333333333333,154.99476539617058,162.5048615987772,9.503011728427358,-21.788145497504324,1
5.3,162.9581422772306,167.93039654786085,-23.921085195765087,-33.42409692419245,1
5.466666666666667,170.61272634267414,167.77807341665655,-21.917894666146534,2.0031905296185535,1
5.633333333333333,170.42658737610176,165.17105806019788,0.413282694587808,22.33117736073434,1
5.8,168.2819097934754,163.16540364636245,6.854412561579052,6.441129866991243,1
5.966666666666667,169.29764576689308,159.31550173644158,-2.5606000560761144,-9.415012617655165,1
6.133333333333333,171.148212525984,169.09035717958406,-5.164736247209128,-2.604136191133014,1
6.3,171.54088769775655,170.9396762543778,-1.2701711166943546,3.8945651305147737,1
6.466666666666667,166.1890704212377,167.19953849603397,15.917770175095123,17.18794129178948,1
6.633333333333333,163.28180846696185,167.03883984778247,8.550878834010357,-7.3668913410847665,1
6.8,169.4397653081862,165.94793036953007,-18.61991067977228,-27.170789513782637,1
6.966666666666667,169.50315520338663,160.05155226058437,-0.6247739455647394,17.995136734207538,1
7.133333333333333,173.86668151154,157.73040865514938,-11.633876407440413,-11.009102461875674,1
7.3,165.48849632158044,169.31079729512905,24.163697522505053,35.797573929945464,1
7.466666666666667,159.52404595408248,168.72579065359312,16.956972833572696,-7.206724688932358,1
7.633333333333333,165.29702917505765,171.23697612857944,-17.43013032807823,-34.38710316165093,1
7.8,167.170713019204,165.70942983130948,-4.532166721678563,12.897963606399667,1
7.966666666666667,158.08316998871004,165.2338222947762,28.07515089106558,32.60731761274414,1
8.133333333333333,165.9112851462622,160.99014606460844,-23.716736138724183,-51.79188702978976,1
8.3,167.9059872966505,165.46066525605795,-6.3845476993452985,17.332188439378886,1
8.466666666666667,158.25684773106278,159.6373962575794,27.439908218369993,33.82445591771529,1
8.633333333333333,159.05339731242526,161.55579294009172,-1.0859465151143264,-28.52585473348432,1
8.8,161.70286603915943,162.0597196559262,-6.653466801290096,-5.56752028617577,1
8.966666666666667,158.3670421516931,160.123812359719,7.499773213332043,14.153240014622138,1
9.133333333333333,162.96498967561885,169.42554009583364,-14.374960038093162,-21.874733251425205,1
9.3,166.69410312184655,168.44757715985432,-10.579195699319481,3.7957643387736812,1
9.466666666666667,168.5580784038317,162.83874355170047,-4.578833409551557,6.000362289767924,1
9.633333333333333,162.01983625866532,162.38913726483233,19.87372649836168,24.452559907913237,1
9.8,166.46972834909727,167.5193969616734,-13.302532725834906,-33.176259224196585,1
9.966666666666667,168.0201996092831,169.6249971194595,-4.422714468013057,8.87981825782185,1
