,time,linear_acceleration,angular_velocity
0,0.0,,
1,0.04170833333333333,,0.4353125445031902
2,0.08341666666666667,0.6014768483399475,1.0367893928431378
3,0.125125,0.05888255235048079,1.0956719451936185
4,0.16683333333333333,-0.09774851159480058,0.997923433598818
5,0.20854166666666665,-0.5248562777635015,0.47306715583531644
6,0.25025,-0.012356632734242923,0.4607105231010735
7,0.2919583333333333,-0.5590609116974529,-0.09835038859637933
8,0.33366666666666667,-0.024950236266070583,-0.12330062486244991
9,0.375375,-0.5845748466823149,-0.7078754715447648
10,0.4170833333333333,0.7880695070773917,0.08019403553262679
11,0.45879166666666665,0.08853486320075703,0.16872889873338381
12,0.5005,-0.12438494144961001,0.0443439572837738
13,0.5422083333333333,0.03615339845412657,0.08049735573790037
14,0.5839166666666666,-0.02633365135283939,0.05416370438506098
15,0.625625,-0.8188223702501606,-0.7646586658650996
16,0.6673333333333333,-0.856544593322077,-1.6212032591871766
17,0.7090416666666667,1.3612443652364639,-0.2599588939507126
18,0.75075,0.17577325478556055,-0.08418563916515204
19,0.7924583333333333,-0.7766452980505787,-0.8608309372157307
20,0.8341666666666666,0.5565913941326501,-0.3042395430830805
21,0.875875,0.42225488309824283,0.11801534001516235
22,0.9175833333333333,0.4732998673607385,0.5913152073759008
23,0.9592916666666667,0.3710982912614159,0.9624134986373167
24,1.001,0.5774182952132267,1.5398317938505435
25,1.0427083333333333,-0.7214196960051205,0.818412097845423
26,1.0844166666666666,-0.7609454338775903,0.0574666639678327
27,1.126125,-2.6856141578433306,-2.628147493875498
28,1.1678333333333333,2.763687251370789,0.13553975749529096
29,1.2095416666666667,1.1248128732974536,1.2603526307927446
30,1.25125,-0.7059051874933695,0.5544474432993751
31,1.2929583333333332,0.4813231806464675,1.0357706239458426
32,1.3346666666666667,-0.3074350471020092,0.7283355768438334
33,1.376375,-0.48758398984482965,0.24075158699900379
34,1.4180833333333334,-0.8539465522027977,-0.6131949652037939
35,1.4597916666666666,-0.5755541251546156,-1.1887490903584095
36,1.5015,1.3545079558437032,0.1657588654852937
37,1.5432083333333333,-0.40420043974457165,-0.23844157425927798
38,1.5849166666666665,0.07780241057127835,-0.16063916368799963
39,1.626625,-0.0934877435228691,-0.2541269072108687
40,1.6683333333333332,0.034928032653446794,-0.21919887455742193
41,1.7100416666666667,0.02356105989939153,-0.1956378146580304
42,1.75175,-0.08783557964544034,-0.28347339430347074
43,1.7934583333333334,-0.5155839919690957,-0.7990573862725664
44,1.8351666666666666,-0.5607046395844683,-1.3597620258570347
45,1.8768749999999998,0.8955090850431247,-0.46425294081390994
46,1.9185833333333333,0.4618821013554893,-0.0023708394584206413
47,1.9602916666666665,0.23750144627768463,0.23513060681926398
48,2.002,0.03895279281866973,0.2740833996379337
49,2.0437083333333335,-0.11230723584981486,0.16177616378811885
50,2.0854166666666667,0.9627619440105727,1.1245381077986916
51,2.127125,-0.7490367262014088,0.3755013815972828
52,2.168833333333333,-0.5264348253798219,-0.1509334437825391
53,2.2105416666666664,0.8665778690448789,0.7156444252623398
54,2.25225,0.14838354698820044,0.8640279722505403
55,2.2939583333333333,-0.5074581592205432,0.3565698130299971
56,2.3356666666666666,-1.2518401736943021,-0.8952703606643051
57,2.377375,1.42686391863066,0.5315935579663548
58,2.4190833333333335,-0.8251569627989708,-0.29356340483261595
59,2.4607916666666667,-0.8119462757138598,-1.1055096805464757
60,2.5025,-0.6978964805885843,-1.80340616113506
61,2.544208333333333,3.0322497028614337,1.2288435417263737
62,2.5859166666666664,3.3200199491249363,4.54886349085131
63,2.627625,-2.646940136210257,1.9019233546410526
64,2.6693333333333333,-3.0365557995552757,-1.134632444914223
65,2.7110416666666666,0.8525575639365651,-0.282074880977658
66,2.75275,0.45914999977551235,0.17707511879785437
67,2.794458333333333,3.7969011239010273,3.973976242698882
68,2.8361666666666667,-3.3799300326766044,0.5940462100222775
69,2.877875,-1.3548817740053645,-0.7608355639830869
70,2.919583333333333,-6.1764995023981015,-6.937335066381189
71,2.9612916666666664,3.4174070244380994,-3.519928041943089
72,3.003,3.443658470523518,-0.07626957141957119
73,3.0447083333333333,0.284664320412975,0.20839474899340382
74,3.0864166666666666,0.7351845332841506,0.9435792822775544
75,3.128125,-0.5891035468183752,0.3544757354591792
76,3.169833333333333,0.7252404214902906,1.0797161569494698
77,3.2115416666666663,-0.6450559714275893,0.43466018552188046
78,3.25325,-1.198563466771765,-0.7639032812498846
79,3.294958333333333,0.49767009598421125,-0.26623318526567336
80,3.3366666666666664,0.6863027853488315,0.42006960008315813
81,3.3783749999999997,-0.5658355901333794,-0.14576599005022128
82,3.4200833333333334,-0.9449069679175892,-1.0906729579678105
83,3.4617916666666666,0.7149121577125839,-0.3757608002552266
84,3.5035,-0.1796540696776323,-0.5554148699328589
85,3.545208333333333,0.9223092760714224,0.3668944061385635
86,3.5869166666666668,-0.4140939116273625,-0.04719950548879899
87,3.628625,-0.021492299231584647,-0.06869180472038364
88,3.6703333333333332,-0.016348398007035927,-0.08504020272741956
89,3.7120416666666665,0.827319617454667,0.7422794147272475
90,3.7537499999999997,4.271080141869489,5.013359556596736
91,3.7954583333333334,-5.981287598207758,-0.9679280416110216
92,3.8371666666666666,-1.4055410871083673,-2.373469128719389
93,3.878875,0.4682707887366446,-1.9051983399827443
94,3.920583333333333,1.4778787909375202,-0.42731954904522423
95,3.9622916666666663,0.8463928880737235,0.41907333902849925
96,4.004,-0.6685287890538681,-0.24945545002536892
97,4.045708333333333,0.6669616946421467,0.41750624461677777
